Gene,t-scores,p-values,FDR-adjusted p-values,q-values,BH FDR-adjusted p-values
AP3M1,0.57844,0.5897,1,0.99501,0.9984
SH3RF1,0.57779,0.59011,1,0.99501,0.9984
TMEM63B,-0.57777,0.59012,1,0.99501,0.9984
C11orf83,0.5777,0.59017,1,0.99501,0.9984
ST8SIA2,0.57721,0.59047,1,0.99501,0.9984
DBF4B,0.57714,0.59051,1,0.99501,0.9984
GUF1,0.57714,0.59051,1,0.99501,0.9984
BCAS2,0.57712,0.59052,1,0.99501,0.9984
FANCM,-0.57708,0.59055,1,0.99501,0.9984
NAA30,-0.57703,0.59058,1,0.99501,0.9984
PTCD2,-0.57684,0.59068,1,0.99501,0.9984
EGR1,0.5768,0.59071,1,0.99501,0.9984
C1orf122,-0.57646,0.59091,1,0.99501,0.9984
NHSL2,-0.57627,0.59102,1,0.99501,0.9984
KCTD12,0.57584,0.59127,1,0.99501,0.9984
ZUFSP,0.57583,0.59127,1,0.99501,0.9984
BLMH,-0.57568,0.59136,1,0.99501,0.9984
JMY,0.57551,0.59146,1,0.99501,0.9984
PUM2,0.57536,0.59155,1,0.99501,0.9984
ZBTB4,-0.57533,0.59156,1,0.99501,0.9984
KDM2A,-0.57531,0.59157,1,0.99501,0.9984
MLLT11,-0.57528,0.59159,1,0.99501,0.9984
SUMF1,0.57508,0.59171,1,0.99501,0.9984
EIF2AK4,0.5749,0.59182,1,0.99501,0.9984
NDUFAB1,-0.57471,0.59193,1,0.99501,0.9984
C1orf21,0.57453,0.59204,1,0.99501,0.9984
CYCSP52,-0.57448,0.59207,1,0.99501,0.9984
SIRT1,0.57442,0.59211,1,0.99501,0.9984
GLTPD2,-0.57437,0.59214,1,0.99501,0.9984
C9orf41,-0.57425,0.59221,1,0.99501,0.9984
MLX,-0.57422,0.59223,1,0.99501,0.9984
SETD5,-0.57409,0.59231,1,0.99501,0.9984
CYTH3,-0.57362,0.59261,1,0.99501,0.9984
YTHDF1,0.57361,0.59262,1,0.99501,0.9984
RNF125,-0.57346,0.59271,1,0.99501,0.9984
PRR24,-0.57332,0.5928,1,0.99501,0.9984
FIP1L1,0.57328,0.59282,1,0.99501,0.9984
SS18,0.57325,0.59285,1,0.99501,0.9984
KCTD9,-0.5732,0.59288,1,0.99501,0.9984
SIRT3,0.57305,0.59298,1,0.99501,0.9984
EI24,0.57286,0.5931,1,0.99501,0.9984
LNX2,-0.57276,0.59316,1,0.99501,0.9984
HPCAL1,-0.57255,0.59329,1,0.99501,0.9984
HERC4,-0.57227,0.59347,1,0.99501,0.9984
ZFHX4-AS1,0.57219,0.59353,1,0.99501,0.9984
BMPR2,-0.57209,0.59359,1,0.99501,0.9984
PPP1R3E,-0.57174,0.59381,1,0.99501,0.9984
PLK3,0.5717,0.59384,1,0.99501,0.9984
COG7,-0.57169,0.59384,1,0.99501,0.9984
THOC7,0.57158,0.59391,1,0.99501,0.9984
SNORA65,-0.57156,0.59392,1,0.99501,0.9984
MTX3,0.57152,0.59395,1,0.99501,0.9984
NOP2,-0.57135,0.59405,1,0.99501,0.9984
FBXO8,0.5713,0.59409,1,0.99501,0.9984
TMC3,-0.57129,0.59409,1,0.99501,0.9984
ASXL1,0.57127,0.59411,1,0.99501,0.9984
ZNF20,0.57123,0.59413,1,0.99501,0.9984
RIMS1,0.57119,0.59415,1,0.99501,0.9984
AKIRIN1,-0.57107,0.59422,1,0.99501,0.9984
PLA2G4C,0.57101,0.59427,1,0.99501,0.9984
ZNF132,-0.571,0.59427,1,0.99501,0.9984
RPS6KA1,-0.57098,0.59428,1,0.99501,0.9984
DNAJB4,0.57033,0.59467,1,0.99501,0.9984
INTS10,-0.57023,0.59473,1,0.99501,0.9984
MBD1,-0.57023,0.59473,1,0.99501,0.9984
PDE1A,-0.57017,0.59477,1,0.99501,0.9984
PTPN12,-0.5701,0.59481,1,0.99501,0.9984
MYPOP,-0.57001,0.59487,1,0.99501,0.9984
FZD4,-0.56978,0.59501,1,0.99501,0.9984
FAM133B,-0.56973,0.59503,1,0.99501,0.9984
ANKRD19P,-0.56966,0.59508,1,0.99501,0.9984
INA,-0.56962,0.5951,1,0.99501,0.9984
COQ10B,0.56956,0.59514,1,0.99501,0.9984
MARCKSL1,0.56955,0.59515,1,0.99501,0.9984
RFT1,0.56945,0.5952,1,0.99501,0.9984
HPS6,-0.56937,0.59525,1,0.99501,0.9984
AAMDC,-0.56923,0.59534,1,0.99501,0.9984
ST13,0.569,0.59548,1,0.99501,0.9984
SCAI,0.56892,0.59553,1,0.99501,0.9984
NUDT12,-0.56876,0.59563,1,0.99501,0.9984
NUDCD2,0.56873,0.59565,1,0.99501,0.9984
TTC17,0.56861,0.59573,1,0.99501,0.9984
NBEAL1,-0.56816,0.59603,1,0.99501,0.9984
B4GALT6,0.56801,0.59613,1,0.99501,0.9984
CFL1,0.56789,0.59621,1,0.99501,0.9984
MDH1,-0.56783,0.59626,1,0.99501,0.9984
RFC3,0.56782,0.59626,1,0.99501,0.9984
RTTN,-0.56771,0.59634,1,0.99501,0.9984
ZNF793,-0.56769,0.59635,1,0.99501,0.9984
ELK1,0.56752,0.59648,1,0.99501,0.9984
C19orf6,-0.56738,0.59657,1,0.99501,0.9984
RALY,0.56737,0.59658,1,0.99501,0.9984
CDR2L,-0.56728,0.59665,1,0.99501,0.9984
FIZ1,-0.56716,0.59674,1,0.99501,0.9984
GYS1,-0.56699,0.59686,1,0.99501,0.9984
ZSCAN21,-0.56668,0.59708,1,0.99501,0.9984
WBP2,0.56657,0.59715,1,0.99501,0.9984
ZNF862,0.56654,0.59718,1,0.99501,0.9984
IKZF4,0.56624,0.59738,1,0.99501,0.9984
FAM118B,0.56622,0.5974,1,0.99501,0.9984
DOCK3,-0.56607,0.5975,1,0.99501,0.9984
TSNARE1,0.56554,0.59785,1,0.99501,0.9984
H3F3A,0.56549,0.59788,1,0.99501,0.9984
KIAA0240,-0.56514,0.5981,1,0.99501,0.9984
NAP1L1,0.56493,0.59823,1,0.99501,0.9984
BIRC6,-0.5648,0.5983,1,0.99501,0.9984
SHISA5,-0.56453,0.59846,1,0.99501,0.9984
FEN1,0.56444,0.59851,1,0.99501,0.9984
COQ5,-0.56434,0.59856,1,0.99501,0.9984
TACO1,0.56432,0.59858,1,0.99501,0.9984
KLF13,-0.56417,0.59866,1,0.99501,0.9984
CECR2,0.56401,0.59876,1,0.99501,0.9984
SOX13,0.56385,0.59884,1,0.99501,0.9984
SOGA1,0.56369,0.59893,1,0.99501,0.9984
CLEC16A,-0.56364,0.59896,1,0.99501,0.9984
ZNF587B,0.56336,0.59911,1,0.99501,0.9984
SERINC1,0.56327,0.59917,1,0.99501,0.9984
ZKSCAN5,0.56322,0.59919,1,0.99501,0.9984
DDR1,-0.56294,0.59935,1,0.99501,0.9984
HEATR6,0.56293,0.59935,1,0.99501,0.9984
ST20,-0.56283,0.59941,1,0.99501,0.9984
ATP5C1,0.56279,0.59943,1,0.99501,0.9984
LRRC49,0.5627,0.59948,1,0.99501,0.9984
CDH4,0.56229,0.59972,1,0.99501,0.9984
QTRT1,0.56213,0.5998,1,0.99501,0.9984
HHLA3,0.56209,0.59983,1,0.99501,0.9984
EXTL3,0.562,0.59988,1,0.99501,0.9984
SMU1,0.5617,0.60004,1,0.99501,0.9984
MYNN,-0.56139,0.60022,1,0.99501,0.9984
C16orf59,0.56109,0.60038,1,0.99501,0.9984
VWC2,-0.561,0.60043,1,0.99501,0.9984
FAM192A,0.56093,0.60047,1,0.99501,0.9984
SNAPC5,-0.56071,0.6006,1,0.99501,0.9984
HADHA,-0.56059,0.60066,1,0.99501,0.9984
FAM73A,-0.56053,0.6007,1,0.99501,0.9984
SPECC1,0.56028,0.60083,1,0.99501,0.9984
RRP8,0.56003,0.60097,1,0.99501,0.9984
PFKL,0.55998,0.601,1,0.99501,0.9984
SCAND2,-0.5593,0.60138,1,0.99501,0.9984
OPN3,0.55912,0.60148,1,0.99501,0.9984
MED12L,-0.55856,0.60179,1,0.99501,0.9984
SOX4,0.55855,0.6018,1,0.99501,0.9984
PRSS27,-0.5581,0.60205,1,0.99501,0.9984
IFNGR2,0.55807,0.60206,1,0.99501,0.9984
HTR1B,0.55777,0.60223,1,0.99501,0.9984
GRIA2,0.55758,0.60234,1,0.99501,0.9984
USP40,-0.55758,0.60234,1,0.99501,0.9984
DPAGT1,-0.55754,0.60236,1,0.99501,0.9984
ZNF441,0.55722,0.60253,1,0.99501,0.9984
IGDCC4,0.55703,0.60264,1,0.99501,0.9984
DDT,0.55696,0.60268,1,0.99501,0.9984
B4GALT3,-0.55667,0.60284,1,0.99501,0.9984
UBE2D2,0.55652,0.60292,1,0.99501,0.9984
TSFM,-0.55646,0.60295,1,0.99501,0.9984
MRPL50,0.5562,0.60309,1,0.99501,0.9984
RPA1,0.55617,0.60311,1,0.99501,0.9984
ITPKC,-0.55617,0.60311,1,0.99501,0.9984
PNKP,0.55611,0.60314,1,0.99501,0.9984
RLIM,0.55573,0.60334,1,0.99501,0.9984
PARL,0.55562,0.6034,1,0.99501,0.9984
ZNF174,0.55559,0.60341,1,0.99501,0.9984
MYCBP,0.55541,0.6035,1,0.99501,0.9984
KIAA1737,0.55527,0.60357,1,0.99501,0.9984
PNPT1,-0.55526,0.60358,1,0.99501,0.9984
NUDT15,0.55519,0.60362,1,0.99501,0.9984
EXOSC4,0.55516,0.60363,1,0.99501,0.9984
UBA3,0.55473,0.60386,1,0.99501,0.9984
PPM1K,0.55452,0.60397,1,0.99501,0.9984
AIFM1,0.5544,0.60403,1,0.99501,0.9984
PMPCA,-0.55438,0.60404,1,0.99501,0.9984
PEX19,0.5543,0.60409,1,0.99501,0.9984
LONRF2,-0.55426,0.60411,1,0.99501,0.9984
SHMT1,-0.55402,0.60424,1,0.99501,0.9984
ZNF549,-0.55396,0.60427,1,0.99501,0.9984
ZEB1,0.55347,0.60454,1,0.99501,0.9984
INVS,0.55324,0.60468,1,0.99501,0.9984
SACS,0.55317,0.60472,1,0.99501,0.9984
RAB33A,0.55307,0.60478,1,0.99501,0.9984
MKRN2,0.55291,0.60488,1,0.99501,0.9984
SPTBN4,-0.55273,0.60499,1,0.99501,0.9984
ZNF544,0.5524,0.6052,1,0.99501,0.9984
RINT1,0.55232,0.60525,1,0.99501,0.9984
TBL1XR1,0.55219,0.60533,1,0.99501,0.9984
MRPL2,0.55214,0.60536,1,0.99501,0.9984
KIAA0247,0.55206,0.60542,1,0.99501,0.9984
TBC1D10B,-0.55183,0.60557,1,0.99501,0.9984
CNOT6,0.55176,0.60561,1,0.99501,0.9984
DHRS13,-0.55169,0.60565,1,0.99501,0.9984
PTPN21,0.55145,0.60581,1,0.99501,0.9984
OSBPL1A,0.55143,0.60583,1,0.99501,0.9984
ATP6AP1,-0.55133,0.60589,1,0.99501,0.9984
MIPEP,-0.55128,0.60592,1,0.99501,0.9984
CEP57,0.5512,0.60597,1,0.99501,0.9984
ISCA1,0.55092,0.60615,1,0.99501,0.9984
KXD1,-0.55081,0.60622,1,0.99501,0.9984
NCOR2,0.55071,0.60628,1,0.99501,0.9984
ACSL4,0.55067,0.60631,1,0.99501,0.9984
FSD1L,-0.55061,0.60635,1,0.99501,0.9984
SAMD15,-0.55048,0.60643,1,0.99501,0.9984
HSPA12A,-0.55042,0.60647,1,0.99501,0.9984
ABCC10,-0.5502,0.60661,1,0.99501,0.9984
ZNF598,-0.5501,0.60667,1,0.99501,0.9984
PDZRN3,0.54973,0.6069,1,0.99501,0.9984
OXA1L,-0.54968,0.60693,1,0.99501,0.9984
RPL23AP82,0.5494,0.60711,1,0.99501,0.9984
ZNF692,-0.54937,0.60713,1,0.99501,0.9984
VASH1,-0.54927,0.60719,1,0.99501,0.9984
TMEM178B,0.54925,0.6072,1,0.99501,0.9984
KCNJ3,0.5492,0.60723,1,0.99501,0.9984
FLJ20021,0.54916,0.60726,1,0.99501,0.9984
HAUS7,-0.54912,0.60728,1,0.99501,0.9984
EIF4G2,-0.5491,0.60729,1,0.99501,0.9984
RPL24,0.54884,0.60746,1,0.99501,0.9984
DDX31,0.54878,0.6075,1,0.99501,0.9984
CHD4,0.54877,0.6075,1,0.99501,0.9984
LSAMP,0.54868,0.60756,1,0.99501,0.9984
DKFZP686I15217,-0.54863,0.60759,1,0.99501,0.9984
RASSF4,0.5481,0.60792,1,0.99501,0.9984
SRF,0.54779,0.60812,1,0.99501,0.9984
SHD,0.5475,0.60831,1,0.99501,0.9984
SLC16A1,0.54716,0.60853,1,0.99501,0.9984
SCAF8,-0.54706,0.60859,1,0.99501,0.9984
PCDHB13,0.54693,0.60867,1,0.99501,0.9984
NHLRC2,0.54686,0.60872,1,0.99501,0.9984
ARPP19,0.54674,0.6088,1,0.99501,0.9984
ALX1,0.54662,0.60887,1,0.99501,0.9984
TNR,-0.54661,0.60889,1,0.99501,0.9984
GNB1L,-0.54653,0.60894,1,0.99501,0.9984
CLTA,-0.54626,0.60911,1,0.99501,0.9984
NR2C1,0.54592,0.60934,1,0.99501,0.9984
C19orf60,0.5456,0.60955,1,0.99501,0.9984
NIPSNAP1,0.54552,0.6096,1,0.99501,0.9984
TM2D2,-0.54542,0.60966,1,0.99501,0.9984
GNPTAB,0.54542,0.60966,1,0.99501,0.9984
SCOC,0.54533,0.60972,1,0.99501,0.9984
RAB11FIP4,-0.54532,0.60973,1,0.99501,0.9984
TBC1D5,0.54522,0.60979,1,0.99501,0.9984
NUDT19,-0.54502,0.60992,1,0.99501,0.9984
FARP1,0.54486,0.61003,1,0.99501,0.9984
FAM218A,-0.54431,0.61037,1,0.99501,0.9984
RBM12,0.54429,0.61038,1,0.99501,0.9984
RPL38,0.5441,0.6105,1,0.99501,0.9984
CISD3,0.54387,0.61064,1,0.99501,0.9984
DPYSL4,-0.54383,0.61066,1,0.99501,0.9984
AMD1,-0.54373,0.61073,1,0.99501,0.9984
LOC100630918,-0.54353,0.61085,1,0.99501,0.9984
VAT1,-0.54342,0.61092,1,0.99501,0.9984
HIST1H4A,0.5432,0.61105,1,0.99501,0.9984
METTL21A,-0.54295,0.6112,1,0.99501,0.9984
PHF16,0.54283,0.61127,1,0.99501,0.9984
CPSF4,0.54267,0.61136,1,0.99501,0.9984
FAM125B,0.54247,0.61149,1,0.99501,0.9984
KCNJ9,0.54234,0.61156,1,0.99501,0.9984
ANXA6,-0.54219,0.61166,1,0.99501,0.9984
RAB4A,0.54207,0.61172,1,0.99501,0.9984
NUBP2,-0.54204,0.61174,1,0.99501,0.9984
PPP1R7,-0.54177,0.61191,1,0.99501,0.9984
MDH2,-0.54158,0.61203,1,0.99501,0.9984
ZNF776,0.54147,0.61209,1,0.99501,0.9984
WDR33,-0.54143,0.61212,1,0.99501,0.9984
TBC1D17,-0.54139,0.61214,1,0.99501,0.9984
SCAMP5,0.54127,0.61221,1,0.99501,0.9984
KBTBD2,-0.54125,0.61222,1,0.99501,0.9984
NDUFB11,0.54088,0.61246,1,0.99501,0.9984
GPR135,-0.54079,0.61251,1,0.99501,0.9984
SRSF9,-0.54073,0.61255,1,0.99501,0.9984
UMPS,0.54055,0.61266,1,0.99501,0.9984
TOM1,-0.54003,0.61298,1,0.99501,0.9984
FLJ22184,-0.54,0.613,1,0.99501,0.9984
ZNF576,0.53993,0.61304,1,0.99501,0.9984
SHISA7,-0.53989,0.61307,1,0.99501,0.9984
SLC35B4,0.53989,0.61307,1,0.99501,0.9984
GOLGA2,-0.53981,0.61312,1,0.99501,0.9984
KIF1B,-0.53964,0.61322,1,0.99501,0.9984
PHKG2,-0.53963,0.61323,1,0.99501,0.9984
SLC1A1,-0.53914,0.61353,1,0.99501,0.9984
KARS,-0.53896,0.61364,1,0.99501,0.9984
KIAA1549L,-0.53843,0.61397,1,0.99501,0.9984
LAMP2,0.53841,0.61398,1,0.99501,0.9984
WWP1,-0.53838,0.614,1,0.99501,0.9984
GLB1L,0.53833,0.61403,1,0.99501,0.9984
ZNF518A,-0.53823,0.61409,1,0.99501,0.9984
UBL7,-0.53815,0.61414,1,0.99501,0.9984
ATMIN,-0.53806,0.61419,1,0.99501,0.9984
SFI1,0.53801,0.61423,1,0.99501,0.9984
DARS2,0.5379,0.61429,1,0.99501,0.9984
COPS2,-0.53765,0.61445,1,0.99501,0.9984
CLP1,0.53761,0.61447,1,0.99501,0.9984
GOLGA6L9,-0.53758,0.61449,1,0.99501,0.9984
ZNF391,-0.53744,0.61457,1,0.99501,0.9984
PPP2R4,0.5374,0.6146,1,0.99501,0.9984
BSG,0.53715,0.61475,1,0.99501,0.9984
NT5DC2,-0.53699,0.61485,1,0.99501,0.9984
ANKRA2,0.53694,0.61488,1,0.99501,0.9984
CCNJL,0.53675,0.61499,1,0.99501,0.9984
BSN,-0.53608,0.6154,1,0.99501,0.9984
RARB,0.53607,0.61541,1,0.99501,0.9984
TFAP4,0.53595,0.61548,1,0.99501,0.9984
PRRG1,0.53576,0.6156,1,0.99501,0.9984
DENND5B,0.53562,0.61568,1,0.99501,0.9984
FUZ,0.53555,0.61572,1,0.99501,0.9984
STARD13,-0.53536,0.61584,1,0.99501,0.9984
TMEM8B,-0.53534,0.61585,1,0.99501,0.9984
CEP128,0.5351,0.616,1,0.99501,0.9984
PDIK1L,-0.5351,0.616,1,0.99501,0.9984
APC,-0.53507,0.61602,1,0.99501,0.9984
KIF3C,-0.53487,0.61614,1,0.99501,0.9984
YY2,0.5348,0.61619,1,0.99501,0.9984
S100PBP,0.53479,0.61619,1,0.99501,0.9984
LOC285074,0.53459,0.61632,1,0.99501,0.9984
EPHX2,-0.53451,0.61636,1,0.99501,0.9984
XYLB,0.5345,0.61637,1,0.99501,0.9984
SLC24A2,-0.53431,0.61649,1,0.99501,0.9984
ACVR1B,-0.5343,0.61649,1,0.99501,0.9984
CCDC34,0.53429,0.6165,1,0.99501,0.9984
BLZF1,-0.53427,0.61651,1,0.99501,0.9984
ZFP90,0.53424,0.61653,1,0.99501,0.9984
TRIM21,-0.53413,0.6166,1,0.99501,0.9984
DDHD1,-0.53399,0.61669,1,0.99501,0.9984
GNE,0.53392,0.61673,1,0.99501,0.9984
WBSCR17,0.53299,0.6173,1,0.99501,0.9984
NARS2,-0.53295,0.61732,1,0.99501,0.9984
SDF4,0.53283,0.61739,1,0.99501,0.9984
HDAC6,-0.53277,0.61743,1,0.99501,0.9984
FOXN2,0.53262,0.61751,1,0.99501,0.9984
ATL2,-0.53236,0.61767,1,0.99501,0.9984
GAS2L1,0.53217,0.61778,1,0.99501,0.9984
FKBP3,0.53202,0.61787,1,0.99501,0.9984
FAM123C,-0.53193,0.61792,1,0.99501,0.9984
CACNB4,-0.53187,0.61795,1,0.99501,0.9984
EMID2,-0.53175,0.61802,1,0.99501,0.9984
CUL3,0.53128,0.61829,1,0.99501,0.9984
ZC3H7B,0.53126,0.6183,1,0.99501,0.9984
C12orf68,-0.53107,0.61841,1,0.99501,0.9984
STXBP2,0.53092,0.61849,1,0.99501,0.9984
CPT2,0.53092,0.61849,1,0.99501,0.9984
ZNF660,0.5308,0.61856,1,0.99501,0.9984
POLR2E,-0.53078,0.61857,1,0.99501,0.9984
COG4,0.53065,0.61864,1,0.99501,0.9984
INTS7,-0.53026,0.61886,1,0.99501,0.9984
MOCS2,0.53017,0.61891,1,0.99501,0.9984
VEZT,0.53009,0.61896,1,0.99501,0.9984
GNB3,-0.52993,0.61905,1,0.99501,0.9984
APEX2,-0.5295,0.6193,1,0.99501,0.9984
CBL,-0.52949,0.6193,1,0.99501,0.9984
SEC22A,-0.52947,0.61932,1,0.99501,0.9984
NTRK3,-0.52942,0.61934,1,0.99501,0.9984
SLC36A4,-0.52931,0.61941,1,0.99501,0.9984
PGLS,-0.5293,0.61941,1,0.99501,0.9984
KCTD10,-0.52926,0.61944,1,0.99501,0.9984
BEND6,-0.5291,0.61953,1,0.99501,0.9984
CLOCK,0.52908,0.61954,1,0.99501,0.9984
EID2,0.52884,0.61968,1,0.99501,0.9984
TRMU,-0.52883,0.61969,1,0.99501,0.9984
RPL32P3,0.52875,0.61974,1,0.99501,0.9984
HPX,-0.52834,0.61998,1,0.99501,0.9984
SAFB,0.52819,0.62006,1,0.99501,0.9984
FAM3A,0.52801,0.62017,1,0.99501,0.9984
WDR1,-0.52796,0.6202,1,0.99501,0.9984
MATN2,-0.52782,0.62029,1,0.99501,0.9984
C1QBP,0.52765,0.62039,1,0.99501,0.9984
XXYLT1,0.52762,0.62041,1,0.99501,0.9984
MIER2,-0.52742,0.62052,1,0.99501,0.9984
EIF2AK2,-0.5274,0.62054,1,0.99501,0.9984
DACT3,-0.52735,0.62057,1,0.99501,0.9984
FNIP2,-0.52732,0.62059,1,0.99501,0.9984
LMBR1,0.52703,0.62076,1,0.99501,0.9984
SRSF11,0.527,0.62078,1,0.99501,0.9984
COX18,0.52692,0.62083,1,0.99501,0.9984
DHX36,0.52692,0.62083,1,0.99501,0.9984
CD276,0.52667,0.62098,1,0.99501,0.9984
GLG1,-0.52656,0.62105,1,0.99501,0.9984
PHF20,0.52653,0.62106,1,0.99501,0.9984
SUZ12,0.52636,0.62117,1,0.99501,0.9984
ATG5,-0.52618,0.62128,1,0.99501,0.9984
MGC57346,0.52608,0.62134,1,0.99501,0.9984
NT5DC1,-0.52578,0.62152,1,0.99501,0.9984
HNRPLL,0.52554,0.62167,1,0.99501,0.9984
AP1G2,-0.52541,0.62175,1,0.99501,0.9984
LYRM7,-0.52525,0.62185,1,0.99501,0.9984
RGPD2,0.52505,0.62198,1,0.99501,0.9984
ACLY,-0.52498,0.62202,1,0.99501,0.9984
LOC400657,0.52457,0.62227,1,0.99501,0.9984
DAZAP2,0.52441,0.62237,1,0.99501,0.9984
HSPA1B,-0.52418,0.62251,1,0.99501,0.9984
RAP1B,0.52415,0.62253,1,0.99501,0.9984
HDDC2,0.52413,0.62254,1,0.99501,0.9984
ZBTB38,-0.52401,0.62262,1,0.99501,0.9984
KIAA0556,-0.52397,0.62264,1,0.99501,0.9984
REXO2,0.52391,0.62268,1,0.99501,0.9984
RNF216P1,-0.5231,0.62317,1,0.99501,0.9984
RTCA,-0.52302,0.62322,1,0.99501,0.9984
ERCC6,0.52296,0.62325,1,0.99501,0.9984
C11orf24,0.52269,0.62341,1,0.99501,0.9984
KIAA1841,-0.52255,0.62349,1,0.99501,0.9984
ZNF569,-0.52224,0.62367,1,0.99501,0.9984
ACTC1,0.52219,0.6237,1,0.99501,0.9984
ILKAP,0.52212,0.62374,1,0.99501,0.9984
DMAP1,0.52191,0.62387,1,0.99501,0.9984
SLC35A2,-0.5218,0.62393,1,0.99501,0.9984
MRP63,0.52153,0.62409,1,0.99501,0.9984
ZNFX1,0.52142,0.62415,1,0.99501,0.9984
IFNAR1,0.52139,0.62417,1,0.99501,0.9984
KDM4B,0.52138,0.62418,1,0.99501,0.9984
APITD1,-0.52136,0.62419,1,0.99501,0.9984
SGSM2,-0.52134,0.6242,1,0.99501,0.9984
COX5B,-0.52131,0.62422,1,0.99501,0.9984
YEATS2,0.52119,0.62429,1,0.99501,0.9984
DGKH,0.5211,0.62435,1,0.99501,0.9984
HMGN4,-0.52087,0.62448,1,0.99501,0.9984
IDH3A,-0.5207,0.62459,1,0.99501,0.9984
RNF144A-AS1,0.52026,0.62488,1,0.99501,0.9984
DOPEY1,-0.52014,0.62495,1,0.99501,0.9984
ZNHIT6,0.52011,0.62497,1,0.99501,0.9984
CBLN2,-0.5199,0.62512,1,0.99501,0.9984
FAM18B1,0.51986,0.62514,1,0.99501,0.9984
TPST1,-0.51984,0.62516,1,0.99501,0.9984
CDKN2D,-0.51973,0.62523,1,0.99501,0.9984
KNDC1,-0.51966,0.62528,1,0.99501,0.9984
ATP5S,0.51962,0.62531,1,0.99501,0.9984
LOC389023,-0.51957,0.62534,1,0.99501,0.9984
RBMS3,-0.51951,0.62539,1,0.99501,0.9984
VPRBP,0.51947,0.62541,1,0.99501,0.9984
URM1,0.51937,0.62548,1,0.99501,0.9984
RNF19B,0.51916,0.62563,1,0.99501,0.9984
TRRAP,0.51876,0.62591,1,0.99501,0.9984
SLAIN2,-0.51866,0.62598,1,0.99501,0.9984
EBF1,0.51859,0.62603,1,0.99501,0.9984
LOC338651,-0.51847,0.62612,1,0.99501,0.9984
OLFML2B,-0.51828,0.62624,1,0.99501,0.9984
WDR7,-0.51817,0.62632,1,0.99501,0.9984
HSDL2,0.51808,0.62638,1,0.99501,0.9984
EPS15,0.51785,0.62654,1,0.99501,0.9984
KREMEN2,0.51775,0.6266,1,0.99501,0.9984
FER,0.51771,0.62663,1,0.99501,0.9984
PCM1,0.51767,0.62666,1,0.99501,0.9984
C12orf23,0.51765,0.62667,1,0.99501,0.9984
DDX1,0.51765,0.62667,1,0.99501,0.9984
C4orf27,0.51759,0.62671,1,0.99501,0.9984
LPCAT3,0.51747,0.62678,1,0.99501,0.9984
DNAJB1,0.51743,0.62681,1,0.99501,0.9984
SLC9A6,-0.51737,0.62685,1,0.99501,0.9984
RAPGEF4-AS1,-0.51733,0.62687,1,0.99501,0.9984
PRKD2,0.51723,0.62693,1,0.99501,0.9984
PRRC2C,-0.51714,0.62699,1,0.99501,0.9984
LYRM4,-0.51708,0.62702,1,0.99501,0.9984
SAR1A,0.51704,0.62705,1,0.99501,0.9984
ZNF280B,-0.51694,0.62711,1,0.99501,0.9984
ZNF433,0.51684,0.62717,1,0.99501,0.9984
ACTA1,0.51679,0.6272,1,0.99501,0.9984
HMX3,-0.51676,0.62722,1,0.99501,0.9984
TPI1,0.51661,0.62731,1,0.99501,0.9984
SIN3A,-0.51654,0.62735,1,0.99501,0.9984
LRRC16A,-0.5162,0.62755,1,0.99501,0.9984
POLD4,0.51617,0.62757,1,0.99501,0.9984
BBS12,-0.51601,0.62766,1,0.99501,0.9984
HMGXB4,-0.51579,0.62779,1,0.99501,0.9984
LRCH2,0.51559,0.62791,1,0.99501,0.9984
CD68,0.51558,0.62791,1,0.99501,0.9984
EML1,-0.51533,0.62805,1,0.99501,0.9984
RNASEH1,-0.51531,0.62807,1,0.99501,0.9984
CPEB3,0.51527,0.62809,1,0.99501,0.9984
C4orf29,-0.51517,0.62815,1,0.99501,0.9984
GRK6,-0.51517,0.62815,1,0.99501,0.9984
SIX1,-0.51515,0.62816,1,0.99501,0.9984
THSD7A,0.51504,0.62822,1,0.99501,0.9984
AMPD3,-0.51468,0.62844,1,0.99501,0.9984
FUT9,0.51465,0.62845,1,0.99501,0.9984
CNIH2,-0.51456,0.6285,1,0.99501,0.9984
UBE2G1,0.5145,0.62854,1,0.99501,0.9984
TNRC18,-0.51441,0.62859,1,0.99501,0.9984
MRPL19,0.5144,0.6286,1,0.99501,0.9984
LZTS1,-0.51436,0.62862,1,0.99501,0.9984
ERF,0.51424,0.62869,1,0.99501,0.9984
TRIM4,-0.51398,0.62885,1,0.99501,0.9984
HIST1H2BN,0.51348,0.62915,1,0.99501,0.9984
FAM208B,0.51324,0.62928,1,0.99501,0.9984
SLC35B1,0.51318,0.62932,1,0.99501,0.9984
CRTC1,-0.51271,0.6296,1,0.99501,0.9984
GNAL,0.51229,0.62985,1,0.99501,0.9984
EPB41L1,-0.51225,0.62988,1,0.99501,0.9984
OGG1,-0.51221,0.62989,1,0.99501,0.9984
MPC1,-0.512,0.63002,1,0.99501,0.9984
PPAPDC1B,-0.51179,0.63015,1,0.99501,0.9984
DYM,0.51175,0.63017,1,0.99501,0.9984
STX17,-0.51169,0.63021,1,0.99501,0.9984
HNRNPH2,0.51164,0.63024,1,0.99501,0.9984
FBXO22,-0.51156,0.63029,1,0.99501,0.9984
ARIH1,0.51155,0.63029,1,0.99501,0.9984
MYOM1,0.51138,0.6304,1,0.99501,0.9984
PRKAB2,0.51134,0.63043,1,0.99501,0.9984
